kategori,urun_adi,marka_yayinevi,liste_fiyat_tl,indirimli_fiyat_tl,url
Ödüllü Kitaplar,İş Bankası Kültür YayınlarıSevgiler Kanarken - İş Bankası Kültür Yayınları,İş Bankası Kültür Yayınları,199.9,189.9,https://www.idefix.com/sevgiler-kanarken-p-212708#sortId=212708
Ödüllü Kitaplar,Elips KitaplarıGora - Elips Kitapları,Elips Kitapları,499.9,474.9,https://www.idefix.com/gora-p-222462#sortId=222462
Ödüllü Kitaplar,Everest YayınlarıÖlmeye Yatmak - Dar Zamanlar 1 - Everest Yayınları,Everest Yayınları,1490.0,1415.5,https://www.idefix.com/olmeye-yatmak-dar-zamanlar-1-p-372975#sortId=372975
Ödüllü Kitaplar,Metis YayınlarıG. - Metis Yayınları,Metis Yayınları,475.0,460.75,https://www.idefix.com/g-p-200994#sortId=200994
Ödüllü Kitaplar,Everest YayınlarıKaçakçı Şahan - Everest Yayınları,Everest Yayınları,100.8,75.6,https://www.idefix.com/kacakci-sahan-p-207268#sortId=207268
Ödüllü Kitaplar,E YayınlarıAdımlar - E Yayınları,E Yayınları,176.4,132.3,https://www.idefix.com/adimlar-p-195743#sortId=195743
Ödüllü Kitaplar,Kırmızı Kedi YayıneviGelecek Günlerin Şarabı - Kırmızı Kedi Yayınevi,Kırmızı Kedi Yayınevi,161.28,120.96,https://www.idefix.com/gelecek-gunlerin-sarabi-p-236345#sortId=236345
Ödüllü Kitaplar,Metis YayınlarıKabuğunu Kıran Hikaye - Metis Yayınları,Metis Yayınları,322.56,241.92,https://www.idefix.com/kabugunu-kiran-hikaye-p-190202#sortId=190202
Ödüllü Kitaplar,Literatür YayıncılıkBul Beni Anne - Literatür Yayıncılık,Literatür Yayıncılık,378.0,283.5,https://www.idefix.com/bul-beni-anne-p-940635#sortId=940635
Ödüllü Kitaplar,Everest Yayınlarıİyi Bir Evlilik-Şiddetin Çocukları 2 - Everest Yayınları,Everest Yayınları,175.0,166.25,https://www.idefix.com/iyi-bir-evlilik-siddetin-cocuklari-2-p-411421#sortId=411421
Ödüllü Kitaplar,Epsilon YayıneviBaşardın - Başarı Kapılarını Açan Bir Başucu Kitabı - Epsilon Yayınevi,Epsilon Yayınevi,277.2,207.9,https://www.idefix.com/basardin-basari-kapilarini-acan-bir-basucu-kitabi-p-374438#sortId=374438
Ödüllü Kitaplar,Okyanus YayıncılıkGüntaşı-Piedra de Sol - Okyanus Yayıncılık,Okyanus Yayıncılık,292.32,219.24,https://www.idefix.com/guntasi-piedra-de-sol-p-248603#sortId=248603
Ödüllü Kitaplar,İletişim YayınlarıSabitalem Mahallesi - İletişim Yayınları,İletişim Yayınları,292.32,219.24,https://www.idefix.com/sabitalem-mahallesi-p-273981#sortId=273981
Ödüllü Kitaplar,Siren YayınlarıDönüş - Babalar Oğullar ve Aradaki Memleket - Siren Yayınları,Siren Yayınları,342.72,257.04,https://www.idefix.com/donus-babalar-ogullar-ve-aradaki-memleket-p-337529#sortId=337529
Ödüllü Kitaplar,Alfa YayıncılıkAlfa Yayıncılık Yediler Teknesi - Alfa Yayıncılık,Alfa Yayıncılık,236.88,177.66,https://www.idefix.com/alfa-yayincilik-yediler-teknesi-p-301151#sortId=301151
Ödüllü Kitaplar,Can YayınlarıCan Yayınları Değişen Kafalar - Can Yayınları,Can Yayınları,235.0,176.25,https://www.idefix.com/can-yayinlari-degisen-kafalar-p-200100#sortId=200100
Ödüllü Kitaplar,Bilgi YayıneviSesini Bana Bırak - Bilgi Yayınevi,Bilgi Yayınevi,231.84,173.88,https://www.idefix.com/sesini-bana-birak-p-181234#sortId=181234
Ödüllü Kitaplar,Altın KitaplarBahçıvan Köstebek ve Uçan Karınca Kıvırcık - Altın Kitaplar,Altın Kitaplar,252.0,189.0,https://www.idefix.com/bahcivan-kostebek-ve-ucan-karinca-kivircik-p-227983#sortId=227983
Ödüllü Kitaplar,Everest YayınlarıEverest Yayınları Son Bakış - Everest Yayınları,Everest Yayınları,250.99,188.24,https://www.idefix.com/everest-yayinlari-son-bakis-p-270003#sortId=270003
Ödüllü Kitaplar,Doğan KitapYalnız - Doğan Kitap,Doğan Kitap,352.8,264.6,https://www.idefix.com/yalniz-p-297622#sortId=297622
Ödüllü Kitaplar,Elma YayıneviHaddini Aş! - Çünkü Çok Daha Fazlasına Layıksın! - Elma Yayınevi,Elma Yayınevi,124.89,118.65,https://www.idefix.com/haddini-as-cunku-cok-daha-fazlasina-layiksin-p-298690#sortId=298690
Ödüllü Kitaplar,İnkılap Kitabevi YayıneviTebrikler Kovuldunuz - İnkılap Kitabevi Yayınevi,İnkılap Kitabevi Yayınevi,357.84,268.38,https://www.idefix.com/tebrikler-kovuldunuz-p-282095#sortId=282095
Ödüllü Kitaplar,Can YayınlarıMasalcı - Can Yayınları,Can Yayınları,390.0,292.5,https://www.idefix.com/masalci-p-419264#sortId=419264
